variable,question,subquestion,subquestion_description
q12a,Property Rights and Rule-based Governance,Legal Framework for secure property and contract rights,"legal framework for secure property and contract rights, including predictability and impartiality of laws and regulations"
q12b,Property Rights and Rule-based Governance,Quality of the legal and judicial system,"quality of the legal and judicial system, as measured by independence,   accessibility, legitimacy, efficiency, transparency, and integrity of the courts and other relevant dispute resolution mechanisms"
q12c,Property Rights and Rule-based Governance,Crime and violence as an impediment to economic activity,"crime and violence as an impediment to economic activity and citizen security. For the overall rating, these three dimensions should receive equal weighting."
q13a,Quality of Budgetary and Financial Management,A Comprehensive and Credible Budget,"A Comprehensive and Credible Budget, Linked to Policy priorities"
q13b,Quality of Budgetary and Financial Management,Effective financial management systems,Effective financial management systems to ensure that the budget is implemented as intended in a controlled and predictable way
q13c,Quality of Budgetary and Financial Management,Timely and accurate accounting and fiscal reporting,"timely and accurate accounting and fiscal reporting, including timely audit of public accounts and effective arrangements for follow up"
q15a,Quality of Public Administration,Core admin. Managing its own operations,managing its own operations
q15b,Quality of Public Administration,Core admin. Ensuring quality in policy implementation and regulatory management,ensuring quality in policy implementation and regulatory management
q15c,Quality of Public Administration,Core admin. coordin. the public sector human resour. mgt.,coordinating the larger public sector Human Resources Management regime outside the core administration (de-concentrated and arms-length bodies and subsidiary governments)
q16a,"Transparency, Accountability and Corruption in the Public Sector",Accountability of the executive,the accountability of the executive and other top officials to effective   oversight institutions
q16b,"Transparency, Accountability and Corruption in the Public Sector",Access of civil society to information on public affairs,"access of civil society to timely and reliable information on public affairs   and public policies, including fiscal information (on public expenditures, revenues, and large   contract awards)"
q16c,"Transparency, Accountability and Corruption in the Public Sector",State capture by narrow vested interests,state capture by narrow vested interests
q16d,"Transparency, Accountability and Corruption in the Public Sector",Integrity in the management of public resources,"integrity in the management of public resources, including aid and natural resource revenues"
